DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
11/12/2010;00:00:01;333637;82.42;82.49;81.61;82.66
11/15/2010;00:00:01;366668;82.44;83.16;82.32;83.27
11/16/2010;00:00:01;346821;83.16;83.37;82.8;83.6
11/17/2010;00:00:01;276769;83.37;83.13;82.99;83.56
11/18/2010;00:00:01;148145;83.13;83.53;83.06;109.05
11/19/2010;00:00:01;207992;83.54;83.54;83.11;83.65
11/22/2010;00:00:01;254869;83.54;83.3;83.17;83.57
11/23/2010;00:00:01;296835;83.3;83.27;82.74;83.86
11/24/2010;00:00:01;298699;83.26;83.52;82.91;83.67
11/25/2010;00:00:01;201915;83.52;83.65;83.36;83.71
11/26/2010;00:00:01;236806;83.65;84.09;83.6;84.19
11/29/2010;00:00:01;240268;84.09;84.27;83.78;84.41
11/30/2010;00:00:01;308259;84.26;83.67;83.39;84.28
12/01/2010;00:00:01;316099;83.67;84.11;83.34;84.4
12/02/2010;00:00:01;300640;84.11;83.74;83.45;84.37
12/03/2010;00:00:01;270812;83.74;82.51;82.49;83.85
12/06/2010;00:00:01;254627;82.51;82.67;82.51;83
12/07/2010;00:00:01;306273;82.66;83.48;82.29;83.67
12/08/2010;00:00:01;342250;83.49;84.1;83.43;84.31
12/09/2010;00:00:01;308924;84.11;83.84;83.49;84.12
12/10/2010;00:00:01;236806;83.81;83.93;83.41;84.03
12/13/2010;00:00:01;283684;83.94;83.44;83.07;84.36
12/14/2010;00:00:01;287787;83.45;83.8;82.8;83.84
12/15/2010;00:00:01;304777;83.8;84.27;83.61;84.52
12/16/2010;00:00:01;270755;84.27;84.04;83.86;84.45
12/17/2010;00:00:01;262179;84.03;83.96;83.65;84.21
12/20/2010;00:00:01;255106;84.01;83.78;83.59;84.13
12/21/2010;00:00:01;228304;83.78;83.8;83.46;83.91
12/22/2010;00:00:01;217222;83.8;83.56;83.38;83.86
12/23/2010;00:00:01;203006;83.56;83.03;82.82;83.58
12/24/2010;00:00:01;95946;83.03;82.89;82.81;83.17
12/27/2010;00:00:01;175113;82.84;82.76;82.62;82.99
12/28/2010;00:00:01;263437;82.75;82.33;81.77;82.77
12/29/2010;00:00:01;214056;82.35;81.62;81.52;82.38
12/30/2010;00:00:01;223815;81.63;81.5;81.25;81.86
12/31/2010;00:00:01;144924;81.5;81.13;80.89;81.55
01/03/2011;00:00:01;202190;81.13;81.67;80.9;81.77
01/04/2011;00:00:01;304415;81.68;82.04;81.56;82.29
01/05/2011;00:00:01;319964;82.04;83.18;81.85;83.38
01/06/2011;00:00:01;313062;83.18;83.31;82.83;83.4
01/07/2011;00:00:01;290822;83.31;83.15;82.81;83.69
01/10/2011;00:00:01;250634;83.15;82.72;82.63;83.29
01/11/2011;00:00:01;107594;82.72;83.1;82.68;83.17
01/12/2011;00:00:01;247528;83.1;83.08;82.79;83.47
01/13/2011;00:00:01;327127;83.08;82.75;82.51;83.16
01/14/2011;00:00:01;317893;82.75;82.83;82.37;83.07
01/17/2011;00:00:01;227517;82.78;82.67;82.31;83.02
01/18/2011;00:00:01;313807;82.67;82.62;82.29;82.83
01/19/2011;00:00:01;325948;82.61;82.12;81.8;82.7
01/20/2011;00:00:01;310317;82.12;82.94;82;83.13
01/21/2011;00:00:01;259840;82.94;82.56;82.49;83.1
01/24/2011;00:00:01;275232;82.56;82.53;82.25;82.93
01/25/2011;00:00:01;322617;82.53;82.26;81.94;82.67
01/26/2011;00:00:01;303657;82.26;82.17;81.94;82.62
01/27/2011;00:00:01;338129;82.17;82.88;81.98;83.22
01/28/2011;00:00:01;318038;82.88;82.11;81.95;82.91
01/31/2011;00:00:01;284537;82.11;82.09;81.86;82.27
02/01/2011;00:00:01;330004;82.09;81.39;81.27;82.16
02/02/2011;00:00:01;305271;81.39;81.49;81.31;81.87
02/03/2011;00:00:01;292829;81.49;81.66;81.36;82.07
02/04/2011;00:00:01;280436;81.66;82.16;81.07;82.47
02/07/2011;00:00:01;285398;82.16;82.29;82.11;82.48
02/08/2011;00:00:01;321344;82.29;82.29;81.73;82.43
02/09/2011;00:00:01;343680;82.3;82.41;82.16;82.68
02/10/2011;00:00:01;347778;82.41;83.35;82.34;83.4
02/11/2011;00:00:01;275616;83.34;83.42;83.19;83.68
02/14/2011;00:00:01;282175;83.42;83.39;83.05;83.57
02/15/2011;00:00:01;327854;83.4;83.71;83.14;83.92
02/16/2011;00:00:01;326427;83.71;83.6;83.46;83.99
02/17/2011;00:00:01;295383;83.61;83.29;83.11;83.76
02/18/2011;00:00:01;259959;83.29;83.14;82.98;83.54
02/21/2011;00:00:01;183053;83.09;83.06;83;83.55
02/22/2011;00:00:01;336571;83.06;82.72;82.54;83.44
02/23/2011;00:00:01;275382;82.75;82.44;82.27;82.9
02/24/2011;00:00:01;316710;82.45;82.06;81.57;82.47
02/25/2011;00:00:01;239794;82.05;81.67;81.61;82.06
02/28/2011;00:00:01;258573;81.67;81.87;81.57;81.99
03/01/2011;00:00:01;282373;81.87;81.9;81.74;82.25
03/02/2011;00:00:01;250306;81.9;81.83;81.53;82.12
03/03/2011;00:00:01;249830;81.83;82.37;81.68;82.53
03/04/2011;00:00:01;247381;82.37;82.27;82.18;83.08
03/07/2011;00:00:01;263547;82.3;82.28;81.9;82.4
03/08/2011;00:00:01;298764;82.28;82.82;82.16;82.86
03/09/2011;00:00:01;323403;82.82;82.84;82.53;82.94
03/10/2011;00:00:01;337359;82.82;82.92;82.65;83.18
03/11/2011;00:00:01;359701;82.9;81.84;81.62;83.3
03/14/2011;00:00:01;379933;81.84;81.82;80.57;82.47
03/15/2011;00:00:01;510992;81.82;81.06;80.56;82.05
03/16/2011;00:00:01;499125;81.07;79.12;76.5;81.18
03/17/2011;00:00:01;604287;79.12;79.51;78.23;79.76
03/18/2011;00:00:01;515104;79.52;80.59;79.16;82
03/21/2011;00:00:01;309610;80.59;81.22;80.58;81.33
03/22/2011;00:00:01;283216;81.22;81.04;80.8;81.23
03/23/2011;00:00:01;310644;81.04;80.83;80.66;81.08
03/24/2011;00:00:01;266447;80.87;81.01;80.73;81.07
03/25/2011;00:00:01;261921;81.03;81.37;80.85;81.5
03/28/2011;00:00:01;276913;81.39;81.7;81.28;81.86
03/29/2011;00:00:01;304086;81.69;82.49;81.49;82.54
03/30/2011;00:00:01;373603;82.49;83.14;82.37;83.22
03/31/2011;00:00:01;366875;83.14;83.42;82.53;83.45
04/01/2011;00:00:01;345602;83.42;84.06;83.31;84.74
04/04/2011;00:00:01;274406;84.11;84.35;83.81;84.49
04/05/2011;00:00:01;321733;84.35;84.97;84.12;85.25
04/06/2011;00:00:01;354302;84.97;85.44;84.8;85.53
04/07/2011;00:00:01;391323;85.44;84.87;84.55;85.49
04/08/2011;00:00:01;321145;84.87;84.76;84.64;85.41
04/11/2011;00:00:01;355116;84.81;84.44;84.32;85.17
04/12/2011;00:00:01;505611;84.44;83.75;83.43;84.59
04/13/2011;00:00:01;332553;83.75;83.72;83.54;84.27
04/14/2011;00:00:01;452177;83.72;83.67;82.91;83.84
04/15/2011;00:00:01;302611;83.67;83.14;82.93;83.76
04/18/2011;00:00:01;406711;83.14;82.46;82.15;83.27
04/19/2011;00:00:01;324741;82.47;82.76;82.32;82.89
04/20/2011;00:00:01;371297;82.77;82.48;82.23;83.11
04/21/2011;00:00:01;364877;82.47;81.86;81.58;82.49
04/22/2011;00:00:01;124341;81.86;81.82;81.62;82.12
04/25/2011;00:00:01;254899;81.81;81.67;81.59;82.44
04/26/2011;00:00:01;320413;81.67;81.37;81.24;81.98
04/27/2011;00:00:01;380095;81.38;82.24;81.32;82.79
04/28/2011;00:00:01;365512;82.25;81.61;81.36;82.26
04/29/2011;00:00:01;175183;81.61;81.21;81;81.63
05/02/2011;00:00:01;330003;81.16;81.23;80.95;81.7
05/03/2011;00:00:01;259860;81.23;81.04;80.65;81.24
05/04/2011;00:00:01;344178;81.04;80.57;80.4;81.2
05/05/2011;00:00:01;430378;80.6;80.32;79.53;80.66
05/06/2011;00:00:01;412098;80.32;80.63;80.15;80.95
05/09/2011;00:00:01;235033;80.63;80.16;80.13;80.85
05/10/2011;00:00:01;291685;80.17;80.96;80.13;81.1
05/11/2011;00:00:01;321654;80.96;81.03;80.58;81.33
05/12/2011;00:00:01;317766;81.03;81.01;80.66;81.34
05/13/2011;00:00:01;301682;81;80.78;80.32;81.1
05/16/2011;00:00:01;324280;80.83;80.86;80.6;81.07
05/17/2011;00:00:01;406891;80.86;81.49;80.8;81.78
05/18/2011;00:00:01;376995;81.5;81.72;80.89;81.81
05/19/2011;00:00:01;401598;81.73;81.72;81.43;82.24
05/20/2011;00:00:01;327231;81.72;81.7;81.44;81.86
05/23/2011;00:00:01;400099;81.75;81.97;81.28;82.09
05/24/2011;00:00:01;344877;81.98;82.05;81.56;82.22
05/25/2011;00:00:01;392094;82.06;82.03;81.76;82.18
05/26/2011;00:00:01;339795;82.03;81.1;81.04;82.04
05/27/2011;00:00:01;362018;81.1;80.8;80.67;81.3
05/30/2011;00:00:01;238585;80.75;80.87;80.68;81.03
05/31/2011;00:00:01;386318;80.86;81.36;80.66;81.78
06/01/2011;00:00:01;361560;81.36;80.94;80.64;81.51
06/02/2011;00:00:01;340186;80.94;80.88;80.53;81.33
06/03/2011;00:00:01;335033;80.88;80.25;80.02;80.9
06/06/2011;00:00:01;330193;80.21;80.11;79.95;80.4
06/07/2011;00:00:01;299804;80.11;80.15;79.94;80.35
06/08/2011;00:00:01;377359;80.15;79.85;79.66;80.22
06/09/2011;00:00:01;376504;79.87;80.35;79.79;80.47
06/10/2011;00:00:01;328939;80.35;80.3;79.92;80.41
06/13/2011;00:00:01;324264;80.31;80.2;80.04;80.7
06/14/2011;00:00:01;340995;80.2;80.5;80.06;80.65
06/15/2011;00:00:01;357137;80.49;80.85;80.34;81.07
06/16/2011;00:00:01;409323;80.85;80.57;80.45;81.04
06/17/2011;00:00:01;321306;80.57;80.06;79.96;80.68
06/20/2011;00:00:01;277349;80.14;80.2;79.98;80.38
06/21/2011;00:00:01;248970;80.2;80.25;80.01;80.34
06/22/2011;00:00:01;258296;80.25;80.37;79.97;80.43
06/23/2011;00:00:01;320401;80.36;80.48;80.3;80.8
06/24/2011;00:00:01;280098;80.49;80.45;80.1;80.62
06/27/2011;00:00:01;326913;80.4;80.76;80.27;80.99
06/28/2011;00:00:01;320569;80.75;81.05;80.62;81.28
06/29/2011;00:00:01;332573;81.05;80.74;80.53;81.2
06/30/2011;00:00:01;338390;80.74;80.7;80.23;80.87
07/01/2011;00:00:01;285843;80.7;80.8;80.5;81.16
07/04/2011;00:00:01;255850;80.8;80.78;80.5;80.93
07/05/2011;00:00:01;314501;80.79;81.07;80.76;81.2
07/06/2011;00:00:01;301471;81.08;80.87;80.74;81.12
07/07/2011;00:00:01;292681;80.87;81.27;80.76;81.42
07/08/2011;00:00:01;274468;81.26;80.65;80.47;81.49
07/11/2011;00:00:01;320362;80.6;80.33;80.05;80.84
07/12/2011;00:00:01;449518;80.34;79.46;78.46;80.35
07/13/2011;00:00:01;385736;79.46;78.83;78.62;79.59
07/14/2011;00:00:01;385213;78.83;78.99;78.43;79.62
07/15/2011;00:00:01;283712;79;79.15;78.94;79.28
07/18/2011;00:00:01;275257;79.1;79.04;78.89;79.19
07/19/2011;00:00:01;305361;79.01;79.16;78.78;79.29
07/20/2011;00:00:01;293892;79.16;78.81;78.67;79.33
07/21/2011;00:00:01;277679;78.82;78.54;78.19;78.98
07/22/2011;00:00:01;267043;78.55;78.55;78.24;78.73
07/25/2011;00:00:01;256909;78.54;78.29;78.01;78.56
07/26/2011;00:00:01;253990;78.3;77.99;77.8;78.67
07/27/2011;00:00:01;199428;77.99;77.9;77.52;78.18
07/28/2011;00:00:01;194278;77.9;77.82;77.59;77.92
07/29/2011;00:00:01;279635;77.83;76.77;76.69;77.87
08/01/2011;00:00:01;378240;76.82;77.57;76.27;78.05
08/02/2011;00:00:01;328105;77.56;77.28;76.92;77.82
08/03/2011;00:00:01;336559;77.29;77.13;76.74;77.39
08/04/2011;00:00:01;626097;77.13;79.08;76.97;80.25
08/05/2011;00:00:01;393925;79.09;78.41;78.3;79.42
